c1_p, 0.87
c1_beta, 0.003
c1_starbeta, 0.003
c1_se, 0.022
c1_n,3696
c1_r2, 0.93
c2_p, 0.04
c2_beta,-0.036
c2_starbeta,-0.036**
c2_se, 0.017
c2_n,3695
c2_r2, 0.95
c3_p, 0.28
c3_beta,-0.015
c3_starbeta,-0.015
c3_se, 0.014
c3_n,3689
c3_r2, 0.88
c4_p, 0.01
c4_beta,-0.042
c4_starbeta,-0.042***
c4_se, 0.016
c4_n,3591
c4_r2, 0.97
c5_p, 0.00
c5_beta,-0.015
c5_starbeta,-0.015***
c5_se, 0.004
c5_n,3696
c5_r2, 0.93
c6_p, 0.01
c6_beta, 0.012
c6_starbeta,0.012***
c6_se, 0.005
c6_n,3696
c6_r2, 0.90
c7_p, 0.01
c7_beta,-0.014
c7_starbeta,-0.014**
c7_se, 0.006
c7_n,3696
c7_r2, 0.82
c8_p, 0.02
c8_beta,-0.014
c8_starbeta,-0.014**
c8_se, 0.006
c8_n,2464
c8_r2, 0.94
c9_p, 0.46
c9_beta, 0.004
c9_starbeta, 0.004
c9_se, 0.005
c9_n,3696
c9_r2, 0.95
c10_p, 0.01
c10_beta, 0.012
c10_starbeta,0.012***
c10_se, 0.004
c10_n,3696
c10_r2, 0.94
