c1_p, 0.29
c1_beta, 0.023
c1_starbeta, 0.023
c1_se, 0.021
c1_n,1236
c1_r2, 0.95
c2_p, 0.60
c2_beta,-0.010
c2_starbeta,-0.010
c2_se, 0.019
c2_n,1236
c2_r2, 0.96
c3_p, 0.32
c3_beta,-0.015
c3_starbeta,-0.015
c3_se, 0.015
c3_n,1236
c3_r2, 0.96
c4_p, 0.82
c4_beta,-0.004
c4_starbeta,-0.004
c4_se, 0.019
c4_n,1158
c4_r2, 0.98
c5_p, 0.07
c5_beta,-0.007
c5_starbeta,-0.007*
c5_se, 0.004
c5_n,1236
c5_r2, 0.91
c6_p, 0.20
c6_beta, 0.007
c6_starbeta, 0.007
c6_se, 0.006
c6_n,1236
c6_r2, 0.90
c7_p, 0.22
c7_beta,-0.007
c7_starbeta,-0.007
c7_se, 0.006
c7_n,1236
c7_r2, 0.83
c8_p, 0.16
c8_beta,-0.010
c8_starbeta,-0.010
c8_se, 0.007
c8_n,824
c8_r2, 0.93
c9_p, 0.29
c9_beta, 0.006
c9_starbeta, 0.006
c9_se, 0.006
c9_n,1236
c9_r2, 0.95
c10_p, 0.04
c10_beta, 0.011
c10_starbeta,0.011**
c10_se, 0.005
c10_n,1236
c10_r2, 0.93
