c1_00_p, 0.05
c1_00_beta, 0.135
c1_00_starbeta,0.135**
c1_00_se, 0.069
c1_00_n,1261978
c1_00_r2,
c2_00_p, 0.03
c2_00_beta, 0.164
c2_00_starbeta,0.164**
c2_00_se, 0.074
c2_00_n,1261978
c2_00_r2,
c2_02_p, 0.04
c2_02_beta, 0.135
c2_02_starbeta,0.135**
c2_02_se, 0.067
c2_02_n,1261978
c2_02_r2,
c2_25_p, 0.03
c2_25_beta, 0.129
c2_25_starbeta,0.129**
c2_25_se, 0.058
c2_25_n,1261978
c2_25_r2,
c3_00_p, 0.05
c3_00_beta, 0.125
c3_00_starbeta,0.125*
c3_00_se, 0.065
c3_00_n,1259440
c3_00_r2,
c3_02_p, 0.11
c3_02_beta, 0.101
c3_02_starbeta, 0.101
c3_02_se, 0.062
c3_02_n,1259440
c3_02_r2,
c3_25_p, 0.12
c3_25_beta, 0.077
c3_25_starbeta, 0.077
c3_25_se, 0.049
c3_25_n,1259440
c3_25_r2,
c4_00_p, 0.11
c4_00_beta, 0.107
c4_00_starbeta, 0.107
c4_00_se, 0.068
c4_00_n,407832
c4_00_r2,
c4_02_p, 0.05
c4_02_beta, 0.129
c4_02_starbeta,0.129*
c4_02_se, 0.067
c4_02_n,407832
c4_02_r2,
c4_25_p, 0.09
c4_25_beta, 0.084
c4_25_starbeta,0.084*
c4_25_se, 0.050
c4_25_n,407832
c4_25_r2,
c5_00_p, 0.05
c5_00_beta, 0.131
c5_00_starbeta,0.131*
c5_00_se, 0.068
c5_00_n,310924
c5_00_r2,
c5_02_p, 0.07
c5_02_beta, 0.122
c5_02_starbeta,0.122*
c5_02_se, 0.068
c5_02_n,310924
c5_02_r2,
c5_25_p, 0.16
c5_25_beta, 0.071
c5_25_starbeta, 0.071
c5_25_se, 0.051
c5_25_n,310924
c5_25_r2,
c6_00_p, 0.05
c6_00_beta, 0.163
c6_00_starbeta,0.163**
c6_00_se, 0.081
c6_00_n,69596
c6_00_r2,
c6_02_p, 0.13
c6_02_beta, 0.120
c6_02_starbeta, 0.120
c6_02_se, 0.079
c6_02_n,69596
c6_02_r2,
c6_25_p, 0.27
c6_25_beta, 0.063
c6_25_starbeta, 0.063
c6_25_se, 0.057
c6_25_n,69596
c6_25_r2,
c7_00_p, 0.09
c7_00_beta, 0.207
c7_00_starbeta,0.207*
c7_00_se, 0.123
c7_00_n,26270
c7_00_r2,
c7_02_p, 0.02
c7_02_beta, 0.210
c7_02_starbeta,0.210**
c7_02_se, 0.093
c7_02_n,26270
c7_02_r2,
c7_25_p, 0.17
c7_25_beta, 0.096
c7_25_starbeta, 0.096
c7_25_se, 0.070
c7_25_n,26270
c7_25_r2,
c8_00_p, 0.22
c8_00_beta, 0.152
c8_00_starbeta, 0.152
c8_00_se, 0.125
c8_00_n,12172
c8_00_r2,
c8_02_p, 0.12
c8_02_beta, 0.158
c8_02_starbeta, 0.158
c8_02_se, 0.103
c8_02_n,12172
c8_02_r2,
c8_25_p, 0.19
c8_25_beta, 0.101
c8_25_starbeta, 0.101
c8_25_se, 0.077
c8_25_n,12172
c8_25_r2,
