c1_dd_05km_p, 0.40
c1_dd_05km_beta, 0.033
c1_dd_05km_starbeta, 0.033
c1_dd_05km_se, 0.039
c1_dd_05km_n,2509
c1_dd_05km_r2, 0.18
c2_dd_05km_p, 0.46
c2_dd_05km_beta, 0.029
c2_dd_05km_starbeta, 0.029
c2_dd_05km_se, 0.039
c2_dd_05km_n,1167
c2_dd_05km_r2, 0.09
c3_dd_05km_p, 0.67
c3_dd_05km_beta, 0.016
c3_dd_05km_starbeta, 0.016
c3_dd_05km_se, 0.039
c3_dd_05km_n,934
c3_dd_05km_r2, 0.09
c4_dd_05km_p, 0.64
c4_dd_05km_beta, 0.020
c4_dd_05km_starbeta, 0.020
c4_dd_05km_se, 0.043
c4_dd_05km_n,394
c4_dd_05km_r2, 0.11
c1_dd_1km_p, 0.26
c1_dd_1km_beta, 0.041
c1_dd_1km_starbeta, 0.041
c1_dd_1km_se, 0.037
c1_dd_1km_n,2509
c1_dd_1km_r2, 0.18
c2_dd_1km_p, 0.29
c2_dd_1km_beta, 0.040
c2_dd_1km_starbeta, 0.040
c2_dd_1km_se, 0.038
c2_dd_1km_n,1167
c2_dd_1km_r2, 0.09
c3_dd_1km_p, 0.49
c3_dd_1km_beta, 0.026
c3_dd_1km_starbeta, 0.026
c3_dd_1km_se, 0.037
c3_dd_1km_n,934
c3_dd_1km_r2, 0.09
c4_dd_1km_p, 0.42
c4_dd_1km_beta, 0.034
c4_dd_1km_starbeta, 0.034
c4_dd_1km_se, 0.043
c4_dd_1km_n,394
c4_dd_1km_r2, 0.11
