c1_00_p, 0.00
c1_00_beta, 0.108
c1_00_starbeta,0.108***
c1_00_se, 0.034
c1_00_n,1993198
c1_00_r2, 0.85
c1_02_p, 0.11
c1_02_beta, 0.038
c1_02_starbeta, 0.038
c1_02_se, 0.024
c1_02_n,1993198
c1_02_r2, 0.85
c1_25_p, 0.15
c1_25_beta, 0.032
c1_25_starbeta, 0.032
c1_25_se, 0.022
c1_25_n,1993198
c1_25_r2, 0.85
s1_05_p, 0.01
s1_05_beta, 0.056
s1_05_starbeta,0.056**
s1_05_se, 0.022
s1_05_n,1993198
s1_05_r2, 0.85
c2_00_p, 0.00
c2_00_beta, 0.110
c2_00_starbeta,0.110***
c2_00_se, 0.034
c2_00_n,1993198
c2_00_r2, 0.85
c2_02_p, 0.11
c2_02_beta, 0.038
c2_02_starbeta, 0.038
c2_02_se, 0.024
c2_02_n,1993198
c2_02_r2, 0.85
c2_25_p, 0.17
c2_25_beta, 0.031
c2_25_starbeta, 0.031
c2_25_se, 0.023
c2_25_n,1993198
c2_25_r2, 0.85
s2_00_p, 0.02
s2_00_beta, 0.091
s2_00_starbeta,0.091**
s2_00_se, 0.038
s2_00_n,1993198
s2_00_r2, 0.85
s2_02_p, 0.08
s2_02_beta, 0.049
s2_02_starbeta,0.049*
s2_02_se, 0.027
s2_02_n,1993198
s2_02_r2, 0.85
s2_25_p, 0.05
s2_25_beta, 0.048
s2_25_starbeta,0.048*
s2_25_se, 0.025
s2_25_n,1993198
s2_25_r2, 0.85
c3_00_p, 0.00
c3_00_beta, 0.094
c3_00_starbeta,0.094***
c3_00_se, 0.032
c3_00_n,1992702
c3_00_r2, 0.85
c3_02_p, 0.36
c3_02_beta, 0.022
c3_02_starbeta, 0.022
c3_02_se, 0.024
c3_02_n,1992702
c3_02_r2, 0.85
c3_25_p, 0.40
c3_25_beta, 0.017
c3_25_starbeta, 0.017
c3_25_se, 0.021
c3_25_n,1992702
c3_25_r2, 0.85
s3_00_p, 0.02
s3_00_beta, 0.084
s3_00_starbeta,0.084**
s3_00_se, 0.036
s3_00_n,1992702
s3_00_r2, 0.85
s3_02_p, 0.10
s3_02_beta, 0.048
s3_02_starbeta,0.048*
s3_02_se, 0.029
s3_02_n,1992702
s3_02_r2, 0.85
s3_25_p, 0.08
s3_25_beta, 0.043
s3_25_starbeta,0.043*
s3_25_se, 0.025
s3_25_n,1992702
s3_25_r2, 0.85
c4_00_p, 0.00
c4_00_beta, 0.105
c4_00_starbeta,0.105***
c4_00_se, 0.033
c4_00_n,514082
c4_00_r2, 0.85
c4_02_p, 0.15
c4_02_beta, 0.035
c4_02_starbeta, 0.035
c4_02_se, 0.024
c4_02_n,514082
c4_02_r2, 0.85
c4_25_p, 0.08
c4_25_beta, 0.035
c4_25_starbeta,0.035*
c4_25_se, 0.020
c4_25_n,514082
c4_25_r2, 0.85
s4_00_p, 0.00
s4_00_beta, 0.099
s4_00_starbeta,0.099***
s4_00_se, 0.034
s4_00_n,514082
s4_00_r2, 0.85
s4_02_p, 0.06
s4_02_beta, 0.059
s4_02_starbeta,0.059*
s4_02_se, 0.032
s4_02_n,514082
s4_02_r2, 0.85
s4_25_p, 0.11
s4_25_beta, 0.041
s4_25_starbeta, 0.041
s4_25_se, 0.025
s4_25_n,514082
s4_25_r2, 0.85
c5_00_p, 0.00
c5_00_beta, 0.112
c5_00_starbeta,0.112***
c5_00_se, 0.031
c5_00_n,385278
c5_00_r2, 0.84
c5_02_p, 0.05
c5_02_beta, 0.046
c5_02_starbeta,0.046**
c5_02_se, 0.023
c5_02_n,385278
c5_02_r2, 0.84
c5_25_p, 0.21
c5_25_beta, 0.025
c5_25_starbeta, 0.025
c5_25_se, 0.020
c5_25_n,385278
c5_25_r2, 0.84
s5_00_p, 0.00
s5_00_beta, 0.098
s5_00_starbeta,0.098***
s5_00_se, 0.032
s5_00_n,385278
s5_00_r2, 0.84
s5_02_p, 0.08
s5_02_beta, 0.061
s5_02_starbeta,0.061*
s5_02_se, 0.035
s5_02_n,385278
s5_02_r2, 0.84
s5_25_p, 0.27
s5_25_beta, 0.028
s5_25_starbeta, 0.028
s5_25_se, 0.025
s5_25_n,385278
s5_25_r2, 0.84
c6_00_p, 0.00
c6_00_beta, 0.133
c6_00_starbeta,0.133***
c6_00_se, 0.036
c6_00_n,105794
c6_00_r2, 0.84
c6_02_p, 0.00
c6_02_beta, 0.083
c6_02_starbeta,0.083***
c6_02_se, 0.027
c6_02_n,105794
c6_02_r2, 0.84
c6_25_p, 0.08
c6_25_beta, 0.045
c6_25_starbeta,0.045*
c6_25_se, 0.025
c6_25_n,105794
c6_25_r2, 0.84
s6_00_p, 0.00
s6_00_beta, 0.112
s6_00_starbeta,0.112***
s6_00_se, 0.030
s6_00_n,105794
s6_00_r2, 0.84
s6_02_p, 0.00
s6_02_beta, 0.091
s6_02_starbeta,0.091***
s6_02_se, 0.029
s6_02_n,105794
s6_02_r2, 0.84
s6_25_p, 0.26
s6_25_beta, 0.032
s6_25_starbeta, 0.032
s6_25_se, 0.029
s6_25_n,105794
s6_25_r2, 0.84
