c1_dd_05km_beta,0.0084
c1_dd_05km_starbeta,0.0084***
c1_dd_05km_se, 0.002
c1_dd_05km_n,2262
c2_dd_05km_beta,0.0081
c2_dd_05km_starbeta,0.0081***
c2_dd_05km_se, 0.001
c2_dd_05km_n,1037
c3_dd_05km_beta,0.0081
c3_dd_05km_starbeta,0.0081***
c3_dd_05km_se, 0.001
c3_dd_05km_n,848
c4_dd_05km_beta,0.0079
c4_dd_05km_starbeta,0.0079***
c4_dd_05km_se, 0.002
c4_dd_05km_n,371
c1_dd_1km_beta,0.0078
c1_dd_1km_starbeta,0.0078***
c1_dd_1km_se, 0.001
c1_dd_1km_n,2262
c2_dd_1km_beta,0.0077
c2_dd_1km_starbeta,0.0077***
c2_dd_1km_se, 0.001
c2_dd_1km_n,1037
c3_dd_1km_beta,0.0077
c3_dd_1km_starbeta,0.0077***
c3_dd_1km_se, 0.001
c3_dd_1km_n,848
c4_dd_1km_beta,0.0076
c4_dd_1km_starbeta,0.0076***
c4_dd_1km_se, 0.001
c4_dd_1km_n,371
